p1.9 s1.48 lift2.9 drop1.75 spread1.2: primary 171 support 130/130 gap 14 | consoles clear by 24 | primary top 123/137 | fov 58.0 TARGETS OK
p1.9 s1.48 lift2.9 drop1.9 spread1.2: primary 171 support 130/130 gap 14 | consoles clear by 16 | primary top 123/137 | fov 58.0 TARGETS OK
p1.9 s1.48 lift3.2 drop1.75 spread1.2: primary 172 support 131/131 gap 14 | consoles clear by 42 | primary top 103/115 | fov 58.0 TARGETS OK
p1.9 s1.48 lift3.2 drop1.9 spread1.2: primary 172 support 131/131 gap 14 | consoles clear by 33 | primary top 103/115 | fov 58.0 TARGETS OK
p1.9 s1.48 lift3.2 drop2.05 spread1.2: primary 172 support 130/130 gap 14 | consoles clear by 24 | primary top 103/115 | fov 58.0 TARGETS OK
p1.9 s1.48 lift3.2 drop2.2 spread1.2: primary 172 support 130/130 gap 14 | consoles clear by 16 | primary top 103/115 | fov 58.0 TARGETS OK
p1.9 s1.48 lift3.5 drop1.75 spread1.2: primary 174 support 133/133 gap 14 | consoles clear by 59 | primary top 83/92 | fov 58.0 TARGETS OK
p1.9 s1.48 lift3.5 drop1.9 spread1.2: primary 174 support 132/132 gap 14 | consoles clear by 51 | primary top 83/92 | fov 58.0 TARGETS OK
p1.9 s1.48 lift3.5 drop2.05 spread1.2: primary 174 support 131/131 gap 14 | consoles clear by 42 | primary top 83/92 | fov 58.0 TARGETS OK
p1.9 s1.48 lift3.5 drop2.2 spread1.2: primary 174 support 131/131 gap 14 | consoles clear by 33 | primary top 83/92 | fov 58.0 TARGETS OK

10 candidates
